doc_id,posting_entries_size,doc_size_bytes
1334,572,15043
1335,608,11699
1336,876,15983
1337,432,11296
1338,1184,21586
1339,3508,32864
1340,11220,201823
1341,580,14465
1342,1984,43882
1343,728,10470
1344,436,9585
1345,452,10785
1346,2804,28806
1347,800,11418
1348,3800,59926
1349,2488,105046
1350,1088,28764
1351,1760,24330
1352,452,12785
1353,920,35359
1354,1256,11723
1355,2240,55477
1356,428,9445
1357,1108,18335
1358,976,24305
1359,948,13948
1360,1772,36151
1361,3012,26834
1362,10268,199252
1363,2344,61286
1364,1204,13380
1365,2760,52289
1366,940,17964
1367,1316,19498
1368,808,14043
1369,812,12256
1370,708,13301
1371,920,22662
1372,1676,58289
1373,644,10808
1374,420,12131
1375,648,16669
1376,1276,28694
1377,1608,18834
1378,1280,22012
1379,1092,17892
1380,3588,73241
1381,984,15972
1382,580,11327
1383,656,17391
1384,944,13411
1385,1028,103300
1386,428,10458
1387,1320,20803
1388,1100,22397
1389,400,11562
1390,1516,21838
1391,1528,21477
1392,3444,64038
1393,500,11843
1394,6064,45630
1395,1120,20867
1396,616,14263
1397,840,13040
1398,708,13713
1399,744,14606
1400,900,17753
1401,708,16354
1402,676,12994
1403,468,9982
1404,452,11534
1405,736,14342
1406,464,10838
1407,620,16472
1408,848,16499
1409,516,12100
1410,452,10801
1411,1192,15330
1412,776,13955
1413,840,25165
1414,1268,21332
1415,684,12398
1416,688,11391
1417,880,19290
1418,2420,28478
1419,748,17162
1420,1396,20634
1421,7816,193540
1422,756,18638
1423,2352,52050
1424,984,15975
1425,3092,31864
1426,508,13167
1427,604,14853
1428,1032,31647
1429,1192,18339
1430,696,14172
1431,476,10550
1432,1576,29640
1433,440,12275
1434,1128,38747
1435,1148,24982
1436,980,19395
1437,1360,15834
1438,412,11167
1439,664,21778
1440,3136,37730
1441,1020,15106
1442,1220,21620
1443,2036,22543
1444,624,13377
1445,416,12098
1446,1896,18078
1447,368,9233
1448,1812,72400
1449,1124,18512
1450,1088,14822
1451,2156,27359
1452,468,13138
1453,1160,14008
1454,460,11232
1455,624,9744
1456,764,14697
1457,524,13481
1458,1652,28169
1459,772,16907
1460,752,14309
1461,1840,33619
1462,612,11606
1463,460,11787
1464,1444,21559
1465,404,9033
1466,892,20741
1467,804,13131
1468,812,15803
1469,1232,29842
1470,588,10120
1471,684,23840
1472,2280,49034
1473,660,15664
1474,1792,29991
1475,980,18311
1476,472,10539
1477,440,9975
1478,736,15765
1479,836,12380
1480,644,17582
1481,472,10151
1482,940,25373
1483,1716,33738
1484,508,10708
1485,404,11434
1486,1140,26226
1487,1444,15028
1488,528,13532
1489,392,11501
1490,2216,29395
1491,692,14434
1492,744,14820
1493,1244,30339
1494,1860,36930
1495,1044,24698
1496,800,23526
1497,708,18879
1498,588,12801
1499,1456,23126
1500,984,29209
1501,836,13838
1502,2820,77166
1503,868,22344
1504,2888,55014
1505,724,12915
1506,604,10847
1507,716,15158
1508,2332,24764
1509,820,11885
1510,788,13805
1511,1188,28897
1512,1936,37948
1513,2848,33320
1514,496,12467
1515,756,16801
1516,632,20210
1517,780,14674
1518,948,20428
1519,1060,18151
1520,2024,31117
1521,552,11027
1522,2628,36136
1523,484,12546
1524,588,15022
1525,512,9044
1526,656,20916
1527,688,18471
1528,904,21973
1529,668,12865
1530,400,10973
1531,360,8383
1532,2076,26258
1533,5084,48820
1534,1020,18029
1535,3792,63132
1536,3940,93522
1537,1540,37799
1538,2280,33687
1539,1788,66016
1540,492,10473
1541,1132,23245
1542,2112,33312
1543,1040,23926
1544,2820,41316
1545,480,12506
1546,760,16799
1547,1368,22977
1548,628,14643
1549,904,19548
1550,1036,31944
1551,2520,34636
1552,2752,53990
1553,344,9082
1554,604,16980
1555,1308,19887
1556,832,16746
1557,1000,14517
1558,540,14210
1559,1104,15606
1560,2028,42852
1561,3456,54905
1562,504,10317
1563,804,17417
1564,1544,27162
1565,1584,25492
1566,872,13809
1567,636,15433
1568,1296,17912
1569,1944,27450
1570,504,10676
1571,2204,34725
1572,840,14110
1573,3896,60676
1574,436,12043
1575,1156,21067
1576,420,9399
1577,1320,32499
1578,992,27729
1579,1240,19076
1580,3684,95630
1581,832,15841
1582,592,10923
1583,1148,22603
1584,964,16075
1585,736,18457
1586,460,10985
1587,1084,25125
1588,700,15490
1589,904,12202
1590,548,13024
1591,560,16163
1592,488,12620
1593,2904,53536
1594,956,13192
1595,1000,25086
1596,640,14000
1597,624,11473
1598,1248,31584
1599,752,15080
1600,1120,15177
1601,796,13677
1602,1204,16450
1603,696,30673
1604,724,17964
1605,428,9698
1606,1300,35695
1607,1044,18577
1608,484,10572
1609,1436,27135
1610,2476,31965
1611,840,15255
1612,440,10578
1613,1244,20471
1614,1696,43524
1615,460,9517
1616,400,11492
1617,668,19383
1618,608,15105
1619,1608,28838
1620,1304,24947
1621,1112,21948
1622,420,9073
1623,684,16278
1624,888,12641
1625,1460,46203
1626,776,14165
1627,584,13487
1628,732,21370
1629,928,15638
1630,4780,74363
1631,1040,18298
1632,1340,17017
1633,856,14427
1634,868,15353
1635,1896,26721
1636,4180,80261
1637,980,14540
1638,1692,43791
1639,3696,59988
1640,3484,66463
1641,1192,35400
